,0,1,2,3
202107030711,ワイド,2 - 7br7 - 8br2 - 8,"6,110br14,420br3,000",48br82br28
202107030711,馬単,7 → 2,65780,118
202107030711,三連複,2 - 7 - 8,160730,259
202107030711,三連単,7 → 2 → 8,1454720,1707
202005050111,単勝,6,300,2
202005050111,複勝,6br17br16,"150br1,180br350",1br11br4
202005050111,枠連,3 - 8,610,2
202005050111,馬連,6 - 17,6140,19
202005050111,ワイド,6 - 17br6 - 16br16 - 17,"2,270br830br8,030",21br6br56
202005050111,馬単,6 → 17,8480,28
202005050111,三連複,6 - 16 - 17,26110,70
202005050111,三連単,6 → 17 → 16,115050,318
202106030607,単勝,4,480,4
202106030607,複勝,4br8br3,190br210br530,3br5br7
202106030607,枠連,4 - 7,2260,11
202106030607,馬連,4 - 8,1690,9
202106030607,ワイド,4 - 8br3 - 4br3 - 8,"590br1,640br2,490",9br18br21
202106030607,馬単,4 → 8,3240,17
202106030607,三連複,3 - 4 - 8,11780,32
202106030607,三連単,4 → 8 → 3,42470,148
202106020803,単勝,1,270,1
202106020803,複勝,1br4br7,140br520br190,1br8br2
202106020803,枠連,1 - 3,2670,14
202106020803,馬連,1 - 4,3260,13
202106020803,ワイド,1 - 4br1 - 7br4 - 7,"1,320br410br1,850",21br2br23
202106020803,馬単,1 → 4,4730,18
202106020803,三連複,1 - 4 - 7,5210,18
202106020803,三連単,1 → 4 → 7,23560,74
202009020708,単勝,11,1810,9
202009020708,複勝,11br3br12,760br170br250,9br1br6
202009020708,枠連,2 - 6,1370,8
202009020708,馬連,3 - 11,5750,27
202009020708,ワイド,3 - 11br11 - 12br3 - 12,"1,900br3,320br780",29br40br6
202009020708,馬単,11 → 3,11840,57
202009020708,三連複,3 - 11 - 12,19810,76
202009020708,三連単,11 → 3 → 12,126830,476
202006020607,単勝,4,1330,5
202006020607,複勝,4br2br6,260br230br120,5br4br1
202006020607,枠連,2 - 4,4500,13
202006020607,馬連,2 - 4,4520,18
202006020607,ワイド,2 - 4br4 - 6br2 - 6,"1,170br590br470",18br6br4
202006020607,馬単,4 → 2,10740,37
202006020607,三連複,2 - 4 - 6,3560,14
202006020607,三連単,4 → 2 → 6,33720,125
202104010110,単勝,6,280,1
202104010110,複勝,6br5,160br150,2br1
202104010110,馬連,5 - 6,430,1
202104010110,ワイド,5 - 6br2 - 6br2 - 5,230br780br710,1br12br11
202104010110,馬単,6 → 5,1040,2
202104010110,三連複,2 - 5 - 6,1730,6
202104010110,三連単,6 → 5 → 2,7990,31
202106020609,単勝,11,230,1
202106020609,複勝,11br2br8,130br180br150,1br4br2
202106020609,枠連,2 - 8,660,2
202106020609,馬連,2 - 11,900,2
202106020609,ワイド,2 - 11br8 - 11br2 - 8,360br280br540,3br1br6
202106020609,馬単,11 → 2,1380,2
202106020609,三連複,2 - 8 - 11,1300,1
202106020609,三連単,11 → 2 → 8,5130,6
202001010101,単勝,6,1600,3
202001010101,複勝,6br2,490br130,4br2
202001010101,馬連,2 - 6,1410,4
202001010101,ワイド,2 - 6br3 - 6br2 - 3,150br170br110,3br4br1
202001010101,馬単,6 → 2,3920,9
202001010101,三連複,2 - 3 - 6,240,2
202001010101,三連単,6 → 2 → 3,5180,16
202109011004,単勝,3,530,3
202109011004,複勝,3br6br4,130br110br110,3br1br2
202109011004,枠連,3 - 6,640,3
202109011004,馬連,3 - 6,570,2
202109011004,ワイド,3 - 6br3 - 4br4 - 6,200br210br140,2br3br1
202109011004,馬単,3 → 6,1420,6
202109011004,三連複,3 - 4 - 6,330,1
202109011004,三連単,3 → 6 → 4,2880,9
202004040204,単勝,9,200,1
202004040204,複勝,9br3br5,110br150br130,1br3br2
202004040204,枠連,3 - 6,700,3
202004040204,馬連,3 - 9,710,2
202004040204,ワイド,3 - 9br5 - 9br3 - 5,290br240br340,2br1br3
202004040204,馬単,9 → 3,990,2
202004040204,三連複,3 - 5 - 9,810,1
202004040204,三連単,9 → 3 → 5,2650,2
202005050110,単勝,11,4720,12
202005050110,複勝,11br1br14,"1,340br870br870",12br11br10
202005050110,枠連,1 - 6,8990,23
202005050110,馬連,1 - 11,88430,80
202005050110,ワイド,1 - 11br11 - 14br1 - 14,"19,510br19,720br8,880",80br81br61
202005050110,馬単,11 → 1,137080,147
202005050110,三連複,1 - 11 - 14,636590,362
202005050110,三連単,11 → 1 → 14,5885570,2299
202005030502,単勝,2,1490,4
202005030502,複勝,2br7br11,200br110br130,4br1br2
202005030502,枠連,1 - 4,720,4
202005030502,馬連,2 - 7,910,3
202005030502,ワイド,2 - 7br2 - 11br7 - 11,330br750br180,3br9br1
202005030502,馬単,2 → 7,3340,10
202005030502,三連複,2 - 7 - 11,1240,2
202005030502,三連単,2 → 7 → 11,14040,38
202109020608,単勝,7,890,5
202109020608,複勝,7br4br9,220br290br180,4br6br3
202109020608,枠連,4 - 7,2180,11
202109020608,馬連,4 - 7,4510,18
202109020608,ワイド,4 - 7br7 - 9br4 - 9,"1,410br730br980",16br9br13
202109020608,馬単,7 → 4,7020,30
202109020608,三連複,4 - 7 - 9,9270,31
202109020608,三連単,7 → 4 → 9,67000,216
202010020201,単勝,10,1670,7
202010020201,複勝,10br1br9,420br150br420,8br1br7
202010020201,枠連,1 - 5,830,3
202010020201,馬連,1 - 10,2050,6
202010020201,ワイド,1 - 10br9 - 10br1 - 9,"830br3,990br960",6br50br7
202010020201,馬単,10 → 1,4950,15
202010020201,三連複,1 - 9 - 10,10660,36
202010020201,三連単,10 → 1 → 9,64700,207
202006030410,単勝,12,500,2
202006030410,複勝,12br2br11,"180br130br1,820",3br1br12
202006030410,枠連,2 - 8,550,2
202006030410,馬連,2 - 12,500,1
202006030410,ワイド,2 - 12br11 - 12br2 - 11,"280br6,500br3,320",1br46br33
202006030410,馬単,12 → 2,1280,3
202006030410,三連複,2 - 11 - 12,15200,44
202006030410,三連単,12 → 2 → 11,57330,181
202105030202,単勝,10,140,1
202105030202,複勝,10br5br9,"110br1,270br650",1br10br7
202105030202,枠連,3 - 5,1370,4
202105030202,馬連,5 - 10,5990,11
202105030202,ワイド,5 - 10br9 - 10br5 - 9,"2,380br810br17,510",19br9br54
202105030202,馬単,10 → 5,7860,18
202105030202,三連複,5 - 9 - 10,38140,62
202105030202,三連単,10 → 5 → 9,96480,180
202107030710,単勝,3,550,2
202107030710,複勝,3br4br1,160br130br250,2br1br5
202107030710,枠連,3 - 4,620,3
202107030710,馬連,3 - 4,650,1
202107030710,ワイド,3 - 4br1 - 3br1 - 4,300br640br470,1br6br4
202107030710,馬単,3 → 4,1600,4
202107030710,三連複,1 - 3 - 4,1790,3
202107030710,三連単,3 → 4 → 1,10110,15
202005050304,単勝,7,320,2
202005050304,複勝,7br1,140br110,2br1
202005050304,馬連,1 - 7,320,2
202005050304,ワイド,1 - 7br6 - 7br1 - 6,150br330br260,1br5br4
202005050304,馬単,7 → 1,820,4
202005050304,三連複,1 - 6 - 7,660,2
202005050304,三連単,7 → 1 → 6,2940,10
202010010902,単勝,7,1600,6
202010010902,複勝,7br1br8,"510br840br4,280",6br8br11
202010010902,枠連,1 - 6,3530,13
202010010902,馬連,1 - 7,19710,34
202010010902,ワイド,1 - 7br7 - 8br1 - 8,"3,980br16,100br21,710",32br47br53
202010010902,馬単,7 → 1,31330,66
202010010902,三連複,1 - 7 - 8,314660,152
202010010902,三連単,7 → 1 → 8,1387320,812
202005050404,単勝,11,240,1
202005050404,複勝,11br13br7,110br130br120,1br3br2
202005050404,枠連,7 - 8,560,2
202005050404,馬連,11 - 13,540,2
202005050404,ワイド,11 - 13br7 - 11br7 - 13,220br190br280,2br1br3
202005050404,馬単,11 → 13,830,2
202005050404,三連複,7 - 11 - 13,520,1
202005050404,三連単,11 → 13 → 7,2000,2
202003020504,単勝,10,650,3
202003020504,複勝,10br3br12,220br370br830,3br6br8
202003020504,枠連,3 - 7,3350,14
202003020504,馬連,3 - 10,3130,15
202003020504,ワイド,3 - 10br10 - 12br3 - 12,"1,070br3,720br4,540",14br30br37
202003020504,馬単,10 → 3,5410,25
202003020504,三連複,3 - 10 - 12,37190,86
202003020504,三連単,10 → 3 → 12,133690,347
202006010604,単勝,10,300,2
202006010604,複勝,10br13br1,150br210br370,2br3br5
202006010604,枠連,6 - 8,750,3
202006010604,馬連,10 - 13,1280,4
202006010604,ワイド,10 - 13br1 - 10br1 - 13,"500br1,050br1,320",3br11br15
202006010604,馬単,10 → 13,2440,7
202006010604,三連複,1 - 10 - 13,5920,18
202006010604,三連単,10 → 13 → 1,22160,62
202005010805,単勝,1,280,2
202005010805,複勝,1br5br3,110br110br190,2br1br5
202005010805,枠連,1 - 5,230,1
202005010805,馬連,1 - 5,230,1
202005010805,ワイド,1 - 5br1 - 3br3 - 5,140br360br340,1br6br5
202005010805,馬単,1 → 5,550,2
202005010805,三連複,1 - 3 - 5,620,2
202005010805,三連単,1 → 5 → 3,2170,5
202008010610,単勝,5,340,1
202008010610,複勝,5br10br3,150br300br200,1br6br3
202008010610,枠連,5 - 8,750,1
202008010610,馬連,5 - 10,2250,7
202008010610,ワイド,5 - 10br3 - 5br3 - 10,"860br450br1,240",11br3br19
202008010610,馬単,5 → 10,3680,11
202008010610,三連複,3 - 5 - 10,3960,10
202008010610,三連単,5 → 10 → 3,17730,38
202005020309,単勝,9,160,1
202005020309,複勝,9br1br6,110br110br130,1br2br3
202005020309,枠連,1 - 8,160,1
202005020309,馬連,1 - 9,160,1
202005020309,ワイド,1 - 9br6 - 9br1 - 6,110br220br240,1br2br3
202005020309,馬単,9 → 1,270,1
202005020309,三連複,1 - 6 - 9,280,1
202005020309,三連単,9 → 1 → 6,660,1
202009010803,単勝,4,170,1
202009010803,複勝,4br2br12,"110br190br1,600",1br4br10
202009010803,枠連,2 - 4,520,2
202009010803,馬連,2 - 4,580,2
202009010803,ワイド,2 - 4br4 - 12br2 - 12,"270br2,740br7,090",2br19br36
202009010803,馬単,4 → 2,870,3
202009010803,三連複,2 - 4 - 12,12490,30
202009010803,三連単,4 → 2 → 12,29380,86
202101010302,単勝,11,490,2
202101010302,複勝,11br1br2,210br130br130,5br2br1
202101010302,枠連,1 - 7,480,1
202101010302,馬連,1 - 11,1050,2
202101010302,ワイド,1 - 11br2 - 11br1 - 2,480br640br270,4br8br1
202101010302,馬単,11 → 1,2370,7
202101010302,三連複,1 - 2 - 11,1630,3
202101010302,三連単,11 → 1 → 2,8930,13
202006040809,単勝,3,320,1
202006040809,複勝,3br9br7,130br170br160,1br4br3
202006040809,枠連,3 - 8,620,1
202006040809,馬連,3 - 9,720,1
202006040809,ワイド,3 - 9br3 - 7br7 - 9,270br320br450,1br2br5
202006040809,馬単,3 → 9,1460,1
202006040809,三連複,3 - 7 - 9,1420,3
202006040809,三連単,3 → 9 → 7,5840,5
202105030511,単勝,9,970,5
202105030511,複勝,9br3br6,300br180br650,5br2br8
202105030511,枠連,2 - 5,620,3
202105030511,馬連,3 - 9,2430,9
202105030511,ワイド,3 - 9br6 - 9br3 - 6,"940br2,940br2,110",10br34br25
202105030511,馬単,9 → 3,6070,20
202105030511,三連複,3 - 6 - 9,16250,52
202105030511,三連単,9 → 3 → 6,103550,295
202109030101,単勝,5,250,1
202109030101,複勝,5br7br1,130br380br350,1br7br5
202109030101,枠連,5 - 6,520,2
202109030101,馬連,5 - 7,2050,7
202109030101,ワイド,5 - 7br1 - 5br1 - 7,"730br820br2,230",7br9br26
202109030101,馬単,5 → 7,3090,10
202109030101,三連複,1 - 5 - 7,6750,25
202109030101,三連単,5 → 7 → 1,27330,93
202107030708,単勝,1,380,2
202107030708,複勝,1br4br16,170br270br990,2br3br12
202107030708,枠連,1 - 2,1080,4
202107030708,馬連,1 - 4,1470,3
202107030708,ワイド,1 - 4br1 - 16br4 - 16,"680br3,940br3,710",3br43br42
202107030708,馬単,1 → 4,2310,3
202107030708,三連複,1 - 4 - 16,19880,70
202107030708,三連単,1 → 4 → 16,72760,221
202004040205,単勝,3,1040,6
202004040205,複勝,3br6br13,350br450br730,5br7br8
202004040205,枠連,2 - 4,4170,18
202004040205,馬連,3 - 6,7680,27
202004040205,ワイド,3 - 6br3 - 13br6 - 13,"2,570br3,410br4,240",26br36br43
202004040205,馬単,3 → 6,14100,48
202004040205,三連複,3 - 6 - 13,45520,118
202004040205,三連単,3 → 6 → 13,253330,659
202106020610,単勝,3,850,4
202106020610,複勝,3br8br9,330br260br410,6br4br7
202106020610,枠連,3 - 5,1690,9
202106020610,馬連,3 - 8,3470,14
202106020610,ワイド,3 - 8br3 - 9br8 - 9,"1,050br1,690br2,030",12br25br30
202106020610,馬単,3 → 8,6610,29
202106020610,三連複,3 - 8 - 9,15840,61
202106020610,三連単,3 → 8 → 9,64540,241
202006030407,単勝,2,490,2
202006030407,複勝,2br9br8,160br300br120,2br5br1
202006030407,枠連,1 - 5,2400,10
202006030407,馬連,2 - 9,3070,11
202006030407,ワイド,2 - 9br2 - 8br8 - 9,880br290br570,9br1br4
202006030407,馬単,2 → 9,5190,17
202006030407,三連複,2 - 8 - 9,2520,4
202006030407,三連単,2 → 9 → 8,18580,39
202009020108,単勝,8,330,2
202009020108,複勝,8br1br5,"170br260br1,050",2br3br7
202009020108,馬連,1 - 8,730,4
202009020108,ワイド,1 - 8br5 - 8br1 - 5,"280br900br1,240",3br11br15
202009020108,馬単,8 → 1,1160,5
202009020108,三連複,1 - 5 - 8,3570,13
202009020108,三連単,8 → 1 → 5,12790,43
202005050403,単勝,13,320,1
202005050403,複勝,13br4br5,130br170br140,1br5br2
202005050403,枠連,3 - 8,460,1
202005050403,馬連,4 - 13,1080,4
202005050403,ワイド,4 - 13br5 - 13br4 - 5,310br270br450,2br1br7
202005050403,馬単,13 → 4,1530,5
202005050403,三連複,4 - 5 - 13,1480,5
202005050403,三連単,13 → 4 → 5,8210,20
202008030711,単勝,12,1570,6
202008030711,複勝,12br7br8,380br360br160,6br5br1
202008030711,枠連,5 - 7,1680,7
202008030711,馬連,7 - 12,9740,32
202008030711,ワイド,7 - 12br8 - 12br7 - 8,"2,870br850br870",36br6br7
202008030711,馬単,12 → 7,21660,76
202008030711,三連複,7 - 8 - 12,7280,24
202008030711,三連単,12 → 7 → 8,73390,243
202006010703,単勝,7,180,1
202006010703,複勝,7br6br12,"110br150br2,310",1br2br13
202006010703,枠連,4 - 4,360,2
202006010703,馬連,6 - 7,360,1
202006010703,ワイド,6 - 7br7 - 12br6 - 12,"210br4,280br6,200",1br34br46
202006010703,馬単,7 → 6,540,1
202006010703,三連複,6 - 7 - 12,14340,39
202006010703,三連単,7 → 6 → 12,35050,105
202009010108,単勝,4,190,1
202009010108,複勝,4br3br6,130br530br440,1br7br6
202009010108,枠連,3 - 4,1700,6
202009010108,馬連,3 - 4,1860,9
202009010108,ワイド,3 - 4br4 - 6br3 - 6,"560br660br3,170",6br10br28
202009010108,馬単,4 → 3,2390,8
202009010108,三連複,3 - 4 - 6,6400,23
202009010108,三連単,4 → 3 → 6,19300,66
202010020507,単勝,12,6310,10
202010020507,複勝,12br9br11,"2,480br1,260br140",12br11br1
202010020507,枠連,6 - 8,2760,8
202010020507,馬連,9 - 12,92920,72
202010020507,ワイド,9 - 12br11 - 12br9 - 11,"33,840br4,370br2,360",76br35br28
202010020507,馬単,12 → 9,295660,145
202010020507,三連複,9 - 11 - 12,125750,181
202010020507,三連単,12 → 9 → 11,1650700,1308
202004020109,単勝,4,430,2
202004020109,複勝,4br13br2,180br270br150,2br5br1
202004020109,枠連,2 - 7,1290,4
202004020109,馬連,4 - 13,2440,7
202004020109,ワイド,4 - 13br2 - 4br2 - 13,"860br400br1,040",6br1br10
202004020109,馬単,4 → 13,3950,9
202004020109,三連複,2 - 4 - 13,3470,5
202004020109,三連単,4 → 13 → 2,18740,25
202010010903,単勝,6,780,3
202010010903,複勝,6br13br11,"280br420br1,950",3br6br13
202010010903,枠連,4 - 8,2180,10
202010010903,馬連,6 - 13,3870,17
202010010903,ワイド,6 - 13br6 - 11br11 - 13,"1,390br11,010br16,290",16br66br76
202010010903,馬単,6 → 13,6490,28
202010010903,三連複,6 - 11 - 13,179960,234
202010010903,三連単,6 → 13 → 11,622930,1072
202001020505,単勝,9,610,2
202001020505,複勝,9br10br2,140br270br110,2br5br1
202001020505,枠連,6 - 6,3150,10
202001020505,馬連,9 - 10,2780,9
202001020505,ワイド,9 - 10br2 - 9br2 - 10,820br220br570,9br1br7
202001020505,馬単,9 → 10,5040,18
202001020505,三連複,2 - 9 - 10,1780,4
202001020505,三連単,9 → 10 → 2,15170,38
202010020602,単勝,2,1580,5
202010020602,複勝,2br13br1,340br340br180,4br5br2
202010020602,枠連,1 - 7,1510,6
202010020602,馬連,2 - 13,6570,22
202010020602,ワイド,2 - 13br1 - 2br1 - 13,"2,090br1,040br1,140",25br9br12
202010020602,馬単,2 → 13,14000,45
202010020602,三連複,1 - 2 - 13,9020,32
202010020602,三連単,2 → 13 → 1,83220,263
202107030706,単勝,9,250,1
202107030706,複勝,9br1br14,"140br220br2,050",1br4br14
202107030706,枠連,1 - 5,300,1
202107030706,馬連,1 - 9,960,3
202107030706,ワイド,1 - 9br9 - 14br1 - 14,"400br5,750br11,390",2br48br73
202107030706,馬単,9 → 1,1340,3
202107030706,三連複,1 - 9 - 14,29610,93
202107030706,三連単,9 → 1 → 14,90800,283
202006040112,単勝,2,630,2
202006040112,複勝,2br12br13,220br880br160,3br14br1
202006040112,枠連,1 - 6,3240,16
202006040112,馬連,2 - 12,14720,50
202006040112,ワイド,2 - 12br2 - 13br12 - 13,"4,250br450br2,170",52br1br26
202006040112,馬単,2 → 12,24320,85
202006040112,三連複,2 - 12 - 13,12250,35
202006040112,三連単,2 → 12 → 13,102540,311
202004020110,単勝,11,770,4
202004020110,複勝,11br10br7,"280br500br1,320",4br8br13
202004020110,枠連,5 - 6,1070,5
202004020110,馬連,10 - 11,6860,27
202004020110,ワイド,10 - 11br7 - 11br7 - 10,"2,410br6,850br9,970",30br66br83
202004020110,馬単,11 → 10,11970,48
202004020110,三連複,7 - 10 - 11,114880,271
202004020110,三連単,11 → 10 → 7,487720,1265
202010020603,単勝,8,390,1
202010020603,複勝,8br15br5,160br530br500,1br7br6
202010020603,枠連,4 - 8,2100,8
202010020603,馬連,8 - 15,4340,12
202010020603,ワイド,8 - 15br5 - 8br5 - 15,"1,630br1,360br6,040",13br11br53
202010020603,馬単,8 → 15,6400,21
202010020603,三連複,5 - 8 - 15,16380,58
202010020603,三連単,8 → 15 → 5,94830,298
202007010408,単勝,5,380,2
202007010408,複勝,5br7,140br130,2br1
202007010408,馬連,5 - 7,290,1
202007010408,ワイド,5 - 7br3 - 5br3 - 7,170br600br520,2br9br8
202007010408,馬単,5 → 7,920,3
202007010408,三連複,3 - 5 - 7,1310,4
202007010408,三連単,5 → 7 → 3,4870,17
202007010610,単勝,2,4500,9
202007010610,複勝,2br6br11,720br150br160,9br1br2
202007010610,枠連,2 - 5,6220,22
202007010610,馬連,2 - 6,7850,24
202007010610,ワイド,2 - 6br2 - 11br6 - 11,"2,300br3,190br370",24br29br3
202007010610,馬単,2 → 6,24810,59
202007010610,三連複,2 - 6 - 11,12240,40
202007010610,三連単,2 → 6 → 11,142710,369
202008031210,単勝,4,1800,9
202008031210,複勝,4br3br6,"520br1,360br260",8br14br3
202008031210,枠連,2 - 2,40240,35
202008031210,馬連,3 - 4,39230,88
202008031210,ワイド,3 - 4br4 - 6br3 - 6,"10,720br2,230br4,460",91br30br57
202008031210,馬単,4 → 3,72300,179
202008031210,三連複,3 - 4 - 6,67240,220
202008031210,三連単,4 → 3 → 6,553270,1590
202010010101,単勝,7,380,1
202010010101,複勝,7br13br6,160br220br140,2br5br1
202010010101,枠連,5 - 8,590,3
202010010101,馬連,7 - 13,1620,6
202010010101,ワイド,7 - 13br6 - 7br6 - 13,580br430br650,8br1br9
202010010101,馬単,7 → 13,3070,14
202010010101,三連複,6 - 7 - 13,2550,7
202010010101,三連単,7 → 13 → 6,15530,45
202008010404,単勝,10,6400,11
202008010404,複勝,10br13br9,"1,070br150br1,080",11br1br13
202008010404,枠連,5 - 7,3180,11
202008010404,馬連,10 - 13,6160,17
202008010404,ワイド,10 - 13br9 - 10br9 - 13,"2,640br15,770br2,520",27br89br25
202008010404,馬単,10 → 13,22490,58
202008010404,三連複,9 - 10 - 13,77280,171
202008010404,三連単,10 → 13 → 9,1060990,1385
202009060709,単勝,9,290,1
202009060709,複勝,9br14br4,150br150br240,3br2br4
202009060709,枠連,5 - 7,490,1
202009060709,馬連,9 - 14,480,1
